,sample,TRs
438,HG03797,0
529,NA10856,0
397,HG03633,0
398,HG03639,0
167,HG01278,0
530,NA10857,0
544,NA12891,0
624,NA19675,0
402,HG03650,0
531,NA10859,0
619,NA19660,0
163,HG01258,0
532,NA10861,0
533,NA12335,0
528,NA10852,0
534,NA12336,0
545,NA12892,0
418,HG03721,0
536,NA12386,0
537,NA12766,0
538,NA12801,0
473,HG03929,0
469,HG03904,0
72,HG00418,0
74,HG00420,0
75,HG00427,0
539,NA12802,0
457,HG03863,0
540,NA12877,0
535,NA12376,0
526,NA10843,0
430,HG03761,0
517,mean_squared_error,0
525,NA10842,0
294,HG01983,0
503,HG04147,0
511,HG04192,0
519,NA07014,0
520,NA07019,0
510,HG04191,0
522,NA07348,0
445,HG03816,0
664,temp,0
111,HG00702,0
523,NA10835,0
176,HG01347,0
437,HG03794,0
504,HG04149,0
524,NA10839,0
365,HG02524,0
500,HG04132,0
94,HG00589,0
